iter	Logloss
0	0.6925055791
1	0.6915328486
2	0.6906629017
3	0.6902157624
4	0.6896931006
5	0.6890375245
6	0.6887135072
7	0.6882249657
8	0.687781776
9	0.6873249717
10	0.6865767588
11	0.686283062
12	0.6852463026
13	0.684997674
14	0.684216505
15	0.6836526587
16	0.6831733487
17	0.6826077567
18	0.682157551
19	0.6812217747
20	0.6809548576
21	0.6806089021
22	0.6804279879
23	0.6794865644
24	0.679201841
25	0.6786947644
26	0.6781060641
27	0.6777174969
28	0.6774259435
29	0.6766289839
30	0.6763589403
31	0.6758888714
32	0.6751538867
33	0.6746843769
34	0.6739862554
35	0.6734211273
36	0.6727489269
37	0.6726131585
38	0.6718734858
39	0.6715172264
40	0.671053916
41	0.6708245518
42	0.6704577895
43	0.6700947218
44	0.6697351472
45	0.6694961914
46	0.6693045641
47	0.6690361794
48	0.6683536905
49	0.668025327
50	0.6674723479
51	0.6668206281
52	0.6662500316
53	0.6658669791
54	0.6648185765
55	0.6642162681
56	0.6633740084
57	0.6628820579
58	0.6623515819
59	0.6618675534
60	0.661182287
61	0.6608043611
62	0.6599485278
63	0.6594594268
64	0.6591455045
65	0.6587009137
66	0.6584113251
67	0.6578169066
68	0.6574875186
69	0.6569002894
70	0.6556428552
71	0.655031709
72	0.654681058
73	0.6542340789
74	0.6537705403
75	0.6533439663
76	0.6527522045
77	0.6521755469
78	0.6516519526
79	0.6509199504
80	0.6502766346
81	0.6500629635
82	0.6496562228
83	0.6489276243
84	0.6485189167
85	0.6480733111
86	0.6473130058
87	0.6470304748
88	0.6466614871
89	0.6460193646
90	0.6457116682
91	0.6454855846
92	0.6451823185
93	0.644224289
94	0.6439602812
95	0.6435265157
96	0.6433741386
97	0.6431529626
98	0.6425766477
99	0.6424200055
100	0.6422513164
101	0.6418008657
102	0.6415296839
103	0.641280777
104	0.6411914778
105	0.6405445114
106	0.6401566388
107	0.6399510373
108	0.6392669753
109	0.638979687
110	0.6387688988
111	0.6385692879
112	0.6379700622
113	0.6375230537
114	0.6368301529
115	0.6364847137
116	0.6359242252
117	0.6355758268
118	0.6350796536
119	0.6343230116
120	0.6334522417
121	0.6330095258
122	0.6324541147
123	0.6317924745
124	0.6310698605
125	0.6303839614
126	0.6301907536
127	0.629699707
128	0.6290338056
129	0.6287212925
130	0.6283843269
131	0.6274794737
132	0.6269112662
133	0.6265990509
134	0.6263882722
135	0.6260391047
136	0.625175987
137	0.6245128703
138	0.624083138
139	0.6233277122
140	0.6226169609
141	0.6221681963
142	0.6213049566
143	0.6204791099
144	0.6199379482
145	0.6191862353
146	0.6186319686
147	0.6180663521
148	0.6171132559
149	0.6162241489
150	0.6156501771
151	0.6151350504
